Job Name,Count
['docteur'],1, élevé
['dom'],1, proletaire
['domest'],1, proletaire
['domest.'],1, proletaire
['dr ès sciences'],1, élevé
"['dr', '-', 'méd']",1, élevé
['décorateur'],1, proletaire
['désinfecteur'],1, intermediaire
['e ief-peintre'],1, proletaire
['eaux minérales.ap. et bur'],1, commerce
"['emile,.plâtr.-peintre.']",1, proletaire
['emjiloyé de bureau'],1, intermediaire
['emnl. commerce'],1, intermediaire
['emo. bur'],1, intermediaire
['emol.comm.'],1, intermediaire
['emp. banq'],1, intermediaire
"['emp. c. f. f.,r']",1, intermediaire
['emp. c.g.n.'],1, intermediaire
['emp. cff'],1, intermediaire
['emp. comm .'],1, intermediaire
"['emp. comm', '.,av']",1, intermediaire
['emp. comm.'],1, intermediaire
['emp. de banque'],1, intermediaire
['emp. de bur'],1, intermediaire
['emp. de consulat'],1, intermediaire
['emp. d’hôtel'],1, intermediaire
['emp. hôtel'],1, intermediaire
['emp. post'],1, intermediaire
['emp. t. f.'],1, intermediaire
['emp. t. l.'],1, intermediaire
['emp. télég'],1, intermediaire
['empailleur dechaises'],1, proletaire
"['empi', 'au téléphone']",1, intermediaire
"['empi, au gaz']",1, intermediaire
"['empi, auxcasernes,']",1, intermediaire
"['empi, banq']",1, intermediaire
"['empi, bur']",1, intermediaire
"['empi, commerce']",1, intermediaire
"['empi, cumin.']",1, intermediaire
"['empi, de commerce']",1, intermediaire
"['empi, de_ banque']",1, intermediaire
"['empi, debanoue,']",1, intermediaire
"['empi, decommerce,']",1, intermediaire
"['empi, hôtel']",1, intermediaire
"['empi, librairie']",1, intermediaire
"['empi, téléph']",1, intermediaire
"['empi, voirie']",1, intermediaire
"['empi,', 'de bureau']",1, intermediaire
['empi. abattoirs'],1, proletaire
"['empi. b. c. v.,av']",1, intermediaire
['empi. cff..'],1, intermediaire
['empi. off'],1, intermediaire
['empi. s.i.'],1, intermediaire
"['empi. t.-l.,']",1, intermediaire
['empi. tl'],1, intermediaire
['empi. tl..'],1, intermediaire
['empi. usine à gaz'],1, intermediaire
['employé ait gaz'],1, intermediaire
['employé aubureau cantonal des étrangers'],1, intermediaire
['employé aupénitencier'],1, intermediaire
"['employé banq.retraité,']",1, intermediaire
['employé debanque'],1, intermediaire
['employé debureau'],1, intermediaire
"['employé debureau,']",1, intermediaire
['employé des forces de joux'],1, intermediaire
['employé librairie'],1, intermediaire
['employé maisonde ville'],1, intermediaire
['employé suisse occid'],1, intermediaire
